Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Year,Month
Cu l Es Su Nombre,El De La Nueva Baby,Lucky Brown,CLA1D2300086,2041,31.9,83521812,10789,6141307,66.0,127280465,489928,110443,7796172,52933390,497967066,1.0,126,0,3.0,1948038,0.0,42326,14,0,97655,True,2023,September
Borro Cassette,Borro Cassette,Maluma,USSD11500124,2045,31.9,761287318,58967,27208424,76.0,1659052720,4919965,198001,36363434,150155845,300327582,66.0,6704,25,41.0,285062,35.0,162106763,53368,0,2419505,False,2015,June
Wild Thoughts,Wild Thoughts,DJ Khaled,USSM11705088,2043,31.9,1164638213,145513,45841172,74.0,27823167,239547,136609,17079390,86703560,0,281.0,158938,69,91.0,735406,39.0,408110670,260091,0,11992440,True,2017,June
L ULTIMA POESIA,L ULTIMA POESIA Single,Geolier,ITQ002400247,2044,31.9,41788648,2056,4977329,72.0,34701839,218997,0,0,0,11032977,12.0,4574,0,3.0,3793156,26.0,0,0,0,470963,False,2024,March
Where Are Now with Justin Bie,Skrillex and Diplo present Jack,Jack,USAT21500555,2036,31.9,1100392417,117948,37006559,69.0,1343498789,7017961,33476,781713,1292397,246356209,11.0,43071,74,126.0,615957,65.0,270250732,213577,0,25076,False,2015,February
TKN feat Travis Scott,TKN feat Travis Scott,ROSAL,USSM12001261,2047,31.9,447192467,93245,19111650,61.0,304553514,4676461,1600000,229389091,1990567953,34030311,141.0,29258,181,58.0,359553,24.0,5796151,6986,0,2921983,False,2020,May
loml,THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401039,2039,31.9,115748552,3133,26378677,0.0,9659878,139519,0,0,0,0,18.0,240,0,3.0,52518,57.0,1418545,726,0,55731,True,2024,April
Est Da,Alma Vac,Ivan Cornejo,QZMFV2000188,2037,31.9,263986575,37945,5228085,67.0,138793735,1535505,953400,208958147,1575405115,266125,21.0,15,2,2.0,810,7.0,16443108,26731,"22,737,141",1413328,False,2021,August
In Your Eyes,After Hours,The Weeknd,USUG12000657,2054,31.8,940914292,130934,30398290,70.0,166787290,2132781,455015,53359943,600906044,270632997,115.0,748,126,34.0,118255,28.0,79648988,16794,0,6236168,True,2020,March
Take Her Home,Take Her Home Single,Kenny Chesney,USWB12306453,2048,31.8,10292715,1666,3832651,9.0,2441458,29255,3054,50322,725724,217465527,13.0,125960,87,8.0,1677021,12.0,12247793,1057,"29,623",139624,False,2023,November
Don t Wanna Know feat Kendrick Lamar,Don t Wanna Know,Maroon 5,USUM71609975,2055,31.8,946757383,87426,23437480,64.0,936997565,5406952,661067,18590789,49143641,611909627,93.0,5920,47,50.0,169599,19.0,357436683,56537,0,9035879,False,2016,October
Entra Na Defender,Entra Na Defender,Luan Pereira,BRRGE2400093,2064,31.8,68372540,2469,32369315,77.0,41802961,232946,0,50978,486300,195270165,11.0,3,0,43.0,18447798,18.0,0,0,0,21095,False,2024,March
Falling,Fine Line,Harry Styles,USSM11912590,2050,31.8,1225776509,135760,95644468,75.0,308365869,5355909,66101,26565378,188148281,6600033,114.0,32921,60,61.0,780422,30.0,16990124,28717,308,1958247,False,2019,December
Maps,Todo Exitos 2014 Los N mero 1 Del A,Maroon 5,USUM71407116,2052,31.8,1676528402,191597,65483960,79.0,942734894,4766947,72429,23807742,152847615,545259689,62.0,14258,45,57.0,744211,13.0,494847775,166161,0,157957,False,2014,January
We re Good,Future Nostalgia The Moonlight Edition,Dua Lipa,GBAHT2001117,2049,31.8,515693079,56753,16981156,62.0,139617172,1511209,76990,24650112,200621230,346012847,106.0,265354,162,40.0,409034,28.0,129291565,11386,0,2909613,False,2021,February
Sip Alcohol,Alcohol Single,Joeboy,QZS7J2197906,2063,31.8,115647691,51136,5269627,58.0,215744090,1282316,812154,21567173,388440929,19685448,48.0,7052,225,11.0,546249,19.0,10402185,2550,"6,563,252",4087365,False,2021,September
Get You feat Kali Uchis,Get You Single,Daniel Caesar,TCACR1690004,2056,31.8,1024198691,168424,41883756,76.0,251585070,1895986,30755,14835570,101238385,651349,172.0,15813,138,12.0,35304,36.0,113844720,71863,"58,680,550",4056356,False,2016,October
Body,Body,Loud Luxury,NLF711710457,2059,31.8,1187784950,148513,50006803,74.0,295487246,1776887,170712,11588300,130962355,248747073,173.0,119849,410,68.0,1791986,57.0,94181226,55458,"19,604,813",9782303,False,2017,October
One Thing At A Time,One Thing At A Time Sampler,Morgan Wallen,USUG12209213,2057,31.8,249576970,31843,5546389,70.0,39198931,239096,9602,2953745,37058831,0,20.0,101754,46,3.0,20693,11.0,59261739,12242,"2,193,718",410037,False,2022,December
Mentiras CROSSOVER 3,Mentiras CROSSOVER 3,Big One,ARP7V2300024,2051,31.8,99865431,12217,5490186,64.0,169676605,490029,0,0,0,199799559,1.0,3042,0,4.0,116607,4.0,0,0,0,104806,False,2023,July
911,911,Sech,QM9WM2000134,2058,31.8,352258962,68202,13733700,55.0,415445675,2300245,321298,59055794,425874947,5980666,43.0,26965,92,7.0,59604,22.0,13388831,4469,"4,291,370",943449,True,2021,February
Boyz Don t Cry,Boyz Don t Cry,Rod Wave,USQX92305199,2061,31.8,56903153,11259,2115211,0.0,19153480,247547,80195,7386830,63874274,1880522,3.0,90,0,1.0,1924,29.0,9833911,6317,"9,848,576",261112,False,2023,September
Loser Baby,Hazbin Hotel Original Soundtrack Part 1,Andrew Underberg,QMB622401808,2060,31.8,91969282,8656,2053660,0.0,51683164,844140,0,0,0,0,3.0,0,0,0.0,0,0.0,860475,3839,0,53519,True,2024,January
A Thousand Years,A Thousand Years,Aldy Santos,QM4DW1718219,2062,31.8,13112,5,478,0.0,75926,1615,0,0,0,0,0.0,48,0,0.0,0,0.0,984853868,1264207,0,17251,False,2017,February
You Make It Easy,You Make It Easy,Jason Aldean,QMRSZ1703136,2066,31.8,461456306,39872,6195765,5.0,149557856,1484925,129190,4676244,48036714,14532218,5.0,65951,25,2.0,0,13.0,619306368,157698,"12,335,891",1717815,False,2018,January
Hoy,Hoy,Valentino Merlo,BK4DA2414210,2065,31.8,3084236,396,5178216,62.0,16220723,20462,0,0,0,16582955,2.0,2,0,4.0,319987,4.0,0,0,0,41919,False,2024,May
Suge,Baby On Baby,DaBaby,USUM71902966,2053,31.8,647501734,112493,19804967,62.0,447330965,3838459,514868,60994964,435082308,165058654,90.0,2734,384,28.0,76282,17.0,152054002,140571,0,2919131,True,2019,March
ball w o you,i am i was,21 Savage,QZ45A1700093,2068,31.7,637055162,167409,20422800,77.0,138716504,1556410,10513,3916682,29554904,47981300,19.0,85,0,12.0,83442,5.0,18315624,18105,"41,638,558",0,True,2018,December
Money,Money,Cardi B,USAT21811495,2070,31.7,580625472,62829,21001481,65.0,551699941,5832935,933238,242352463,1855716339,117323780,73.0,29962,223,30.0,80695,5.0,258372658,235893,0,24631,True,2018,October
Queen of Kings,Queen of Kings,Alessandra,NOW7B2301090,2069,31.7,162396159,44113,11475897,66.0,120017704,1180096,66925,20374918,276521416,10071948,24.0,18103,0,12.0,144199,0.0,691648,1562,0,670703,False,2023,January
Hasta Que Dios Diga,Emmanuel,Anuel AA,QM4TX2084345,2071,31.7,657768560,87832,40590466,71.0,485818371,2230333,56900,4821532,48119818,111654843,93.0,4268,0,19.0,250832,19.0,24169267,3230,"5,908,323",1043955,True,2020,May
H Y B feat Bas Central Cee,Might Delete Later,J Cole,USUG12402406,2074,31.7,36824548,6647,36021058,0.0,7143716,141721,0,0,0,4619708,10.0,2934,0,3.0,138748,39.0,3616525,281,0,173469,True,2024,April
Hackearam me,Decretos Reais Vol 3,Mar lia Mendo,BRWNV2300007,2073,31.7,43921455,1924,4623719,44.0,329678889,1854891,1304,633597,6144992,226061001,8.0,26,0,11.0,718002,4.0,26190,0,0,9589,False,2023,March
No Type,No Type,Rae Sremmurd,USUM71413477,2072,31.7,584277301,124262,20748688,64.0,902705161,5564747,287477,67770069,510652592,171074585,64.0,18018,6,30.0,206604,7.0,393317411,624622,"753,607",4334574,True,2014,September
MONTERO Call Me By Your Name,MONTERO Call Me By Your Name,Lil Nas X,USSM12100532,2067,31.7,1902241314,7736,1546777,44.0,577007299,11124112,0,0,0,-2147483648,94.0,16421,0,6.0,3447,1.0,0,0,0,0,False,2021,March
Unknown,Unknown,YOASOBI,JPP301900716,2085,31.6,588095934,82659,7746455,67.0,690674947,5232424,146905,80235443,613017696,84307511,59.0,2186,0,7.0,11927,9.0,1163746,1034,0,1740273,False,2019,December
Sand In My Boots,Dangerous The Double Album,Morgan Wallen,USUG12004193,2078,31.6,379462137,52985,7003255,72.0,144996999,759185,38414,17034027,137402135,75996858,23.0,192139,89,2.0,2873,12.0,161701201,48818,"7,058,460",886799,False,2021,January
Fouji Fojan Lofi 2 feat Aamin Barodi Sapna Choudhary,Fouji Fojan 2 Lofi feat Aamin Barodi Sapna Choudhary,Raj Mawer,ING642402006,2088,31.6,41746,2,31,0.0,65576399,290795,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,3,False,2024,March
A Cara do Crime N s Incom,A Cara do Crime N s Incom,Mc Poze do Rodo,BCM9A2100020,2076,31.6,167885356,35425,5269761,59.0,623156045,4494258,62871,2554504,35359820,196485248,14.0,4,0,17.0,257093,7.0,0,0,0,288490,True,2021,May
Overseas,Overseas,D Block Europe,GB2DY2100828,2086,31.6,216354398,90545,5425432,64.0,92356896,647095,27652,13161166,148927892,33939271,14.0,5281,10,4.0,9626,11.0,38951,275,"12,328,599",1065136,True,2021,November
I P ME TU P,I P ME TU P,Geolier,ITQ002400009,2079,31.6,85967228,4033,5992539,71.0,55372624,370683,0,0,0,615937940,14.0,7065,0,2.0,3097701,22.0,967,0,0,162032,False,2024,February
Monster Shawn Mendes amp Justin Bieber,Monster,Shawn Mendes,USUM72018810,2075,31.6,606018960,77941,24028281,61.0,249997553,4474871,148379,24539124,177089056,147014107,129.0,155635,0,39.0,360380,38.0,38810977,10996,"2,084,904",2455342,False,2020,November
Last Friday Night T G I F,Teenage Dream,Katy Perry,USCA21001264,2084,31.6,1144535829,170779,83827327,71.0,1604084148,8081370,96013,58785473,592235618,1563364588,85.0,120606,79,40.0,395080,31.0,352629859,633232,0,4134026,False,2010,January
Circo Loco,Her Loss,Drake,USUG12208606,2077,31.6,201467069,74719,15970383,65.0,20937003,225873,21780,12829866,119899800,0,25.0,1,633,5.0,139795,8.0,31344634,4389,0,765958,True,2022,November
Kiss Me More feat SZA,Kiss Me More feat SZA,Doja Cat,USRC12100760,2083,31.6,1823871908,8460,1666482,46.0,462218257,4949298,0,0,0,-2147483648,90.0,111842,0,2.0,6198,2.0,0,0,0,0,False,2021,April
Can n Sa,Can n Sa,Semicenk,FRX282385759,2082,31.6,141252425,15291,5154828,69.0,194066158,587390,21400,722246,23818069,297624271,11.0,7224,0,1.0,1566667,0.0,0,0,0,523400,False,2023,April
Limbo,Freddie s Inferno,Freddie Dredd,USRC12201645,2080,31.6,290154153,78735,11859340,68.0,23082946,421187,212440,107112714,914597307,909289,8.0,1155,3,10.0,97797,1.0,2050356,6853,0,2165418,True,2022,August
Laad Piya Ke,Laad Piya Ke,Raju Punjabi,INA1I1900134,2087,31.6,17675254,894,101013,55.0,573015231,1299244,0,0,0,23808458,0.0,0,0,0.0,0,0.0,14,0,0,65032,False,2022,May
Coco Cola,Coco Cola,Ruchika Jangid,INN172010039,2081,31.6,16483067,1547,487542,53.0,1019712247,4023690,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,41569,False,2020,September
DUELE EL CORAZON,The RCA List Vol 2,Enrique Iglesias,USRC11600642,2100,31.5,654612558,69811,19744540,63.0,1571210815,5796659,62284,4778610,57898629,393609199,81.0,1510,80,72.0,256459,27.0,108942938,37369,0,9176132,False,2016,January
The Code,The Code,Nemo,DEUM72401182,2091,31.5,52925522,4755,12993786,79.0,35640835,468153,0,456500,7397500,2606582,37.0,5288,0,35.0,490971,34.0,0,0,"22,311",178195,False,2024,February
J lale,J lale,Bb trickz,ES5022400953,2102,31.5,23649304,1089,13373487,73.0,18261218,229451,20327,221800,1395100,2297932,5.0,3,85,4.0,27568,0.0,15096,85,"6,827",114774,False,2024,May
A Puro Dolor,A Puro Dolor Single,Gabito Ballesteros,USA2P2355925,2098,31.5,145332157,8065,19954898,80.0,79026835,407599,0,115698,670588,1351870315,8.0,701,7,8.0,8103118,4.0,738838,412,"215,913",233530,False,2023,December
Baddie,I VE MINE,IVE,QMDA72364152,2094,31.5,97738080,9673,7806354,0.0,105403652,1173505,93100,58913003,599706698,563430275,13.0,1245,39,4.0,230164,18.0,228952,943,0,198905,False,2023,October
Prisoner feat Dua Lipa,Prisoner feat Dua Lipa,Miley Cyrus,USRC12003364,2101,31.5,795449825,89489,26707311,67.0,156172635,2182645,59449,27673273,248223677,18039448,199.0,204128,65,72.0,1381166,38.0,34048116,9490,0,2311374,False,2020,November
Why Not,Why Not,Ghostface Playa,QM4TX2235296,2099,31.5,187925725,56849,20452829,64.0,132788074,1959343,86033,73834050,790515512,1740665,12.0,6,0,2.0,83044,1.0,0,0,"14,930,367",1400731,True,2022,April
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,USUM72013361,2096,31.5,501468322,167938,19174702,67.0,145512290,2125906,65170,21468930,199737055,45400,8.0,2184,0,4.0,1200,0.0,34152485,18559,0,855218,True,2020,July
intro end of the world,eternal sunshine,Ariana Grande,USUM72317270,2090,31.5,216386557,6696,14339377,82.0,4613304,63775,0,0,0,0,15.0,140,0,1.0,12028,7.0,177763,317,0,367285,True,2024,March
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,USSM19400325,2097,31.5,1810649765,109411,45003974,60.0,824500156,7455155,18894720,1432227925,-2147483648,29891688,418.0,131873,139,143.0,1390899,125.0,304497253,3556791,"1,273,462",6531412,False,1994,January
La Rompe Corazones,La Rompe Corazones,Daddy Yankee,US2BU1603070,2093,31.5,526264393,48041,19056854,66.0,1423626083,4711667,307866,4422112,34073736,252888925,38.0,7362,51,30.0,301234,15.0,197389672,41508,0,1741563,False,2017,January
QUE ME FALTE TODO,QUE ME FALTE TODO,Luck Ra,CLPP22300109,2089,31.5,83544478,7535,12487998,66.0,106772777,296327,67500,1213643,19661922,224854786,2.0,5020,0,17.0,323249,1.0,2001,0,0,80972,False,2023,October
How To Fly Abbey Road Remaster 2024,Caress Your Soul Abbey Road Remaster 2024,Sticky Fingers,AUUR12400049,2092,31.5,190342124,60,16287,0.0,0,0,0,0,0,0,0.0,2,0,0.0,0,0.0,43142557,9314,0,0,False,2024,March
Dj Dayak Full Beat Lagu Malihi Janji,Dj Dayak Full Beat Lagu Malihi Janji,Jeremya Ginting,SGB502295030,2095,31.5,3211473,678,245209,0.0,0,0,2851400,64372906,1451994379,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2022,December
Si Estuvi semos Ju,X 100PRE,Bad Bunny,QM7281884729,2106,31.4,893876704,86788,30501893,75.0,824238458,5274687,77115,19235429,127896618,149369272,21.0,816,0,10.0,69243,1.0,62373085,9719,0,1305163,True,2018,December
360,360,Charli xcx,USAT22401341,2104,31.4,31940305,3363,94336088,76.0,3784807,147917,0,0,0,190472731,85.0,1488,132,38.0,7757359,69.0,109331,130,0,50140,True,2024,May
GATA ONLY Con Cris MJ,GATA ONLY Con Cris MJ,FloyyMenor,QZDA62409561,2105,31.4,668280514,3,346,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2024,February
El Perd,Full Circle The Live Anthology,Nicky Jam,USSD11500005,2108,31.4,869024663,91687,30002977,69.0,1937330456,6059523,101928,5141327,67188077,270306685,111.0,53221,78,69.0,420802,43.0,489534594,237999,0,6946052,False,2011,November
Love Scars,A Love Letter To You,Trippie Redd,QMEU31704830,2103,31.4,402970867,78206,11962192,5.0,101938749,1029804,252850,36416884,249602373,32722,51.0,10,0,15.0,41759,1.0,34138922,56843,"128,989,553",745513,True,2017,May
Die Hard,Mr Morale The Big Steppers,Kendrick Lamar,USUM72208965,2107,31.4,318340376,83638,10749840,71.0,43714392,491664,3974,1738489,11351079,7985091,36.0,57147,121,8.0,116857,33.0,11750858,3197,0,1032548,True,2022,May
Akher Yawm,Akher Yawm Single,Ghaliaa,SGW502328333,2109,31.4,447624,133,28248,29.0,20172,453,1600000,23539380,479314735,0,0.0,7,0,0.0,0,0.0,0,0,0,42579,False,2023,August
Ascend,Ascend Single,Dezko,QM7282324662,2114,31.3,76305266,31142,26310863,66.0,59140995,748335,161889,9494127,159434907,863864,8.0,12078,19,18.0,354311,0.0,73608,223,0,1327579,False,2023,June
SI SABE FERXXO,SI SABE FERXXO,Blessd,QZZ3N2400002,2117,31.3,124020754,8723,37831803,74.0,32907129,291898,0,0,0,400807241,17.0,9413,38,21.0,1797464,13.0,675788,92,0,194069,True,2024,January
Wind Up Missin You,Wind Up Missin You Single,Tucker Wetmore,QM24S2401097,2116,31.3,58496778,5573,30858408,74.0,6718753,63141,0,1252899,50112477,185661403,22.0,2759,10,0.0,0,13.0,2000917,1861,"541,224",233617,True,2024,March
No Limit,No Limit,G Eazy,USRC11702117,2118,31.3,660710453,90212,20770256,62.0,814200168,5248262,53877,9086422,50335494,203173355,122.0,2881,100,21.0,98271,25.0,300586467,132755,0,5468546,True,2017,September
ten,ten,Fred again,GBAHS2301151,2110,31.3,80795111,29807,14707999,0.0,3922613,53253,0,0,0,0,30.0,5576,45,11.0,116217,15.0,415038,218,"1,579,938",394864,False,2023,October
Dance For Me 1 2 3 Stutter Techno,Dance For Me 1 2 3 Stutter Techno,Sonny Wern,NL1DT2300205,2115,31.3,87323895,31519,22810387,0.0,0,0,21439,8893299,119926922,0,20.0,2057,0,22.0,142486,10.0,0,0,"1,691,509",403097,False,2023,October
Paro,Paro,Nej,FR96X2142743,2112,31.3,120054361,36872,4548963,56.0,468441213,5119403,864786,91708546,1160667367,113281222,6.0,19109,0,8.0,158949,0.0,0,0,0,2275813,True,2021,May
HOPE,HOPE,NF,USUM72300445,2111,31.3,164875589,40366,16074335,64.0,124609202,2299632,23876,25274887,261238878,110745374,10.0,577,0,5.0,5883,7.0,6507190,4734,0,557175,False,2023,February
On My Way,On My Way,Alan Walker,NOG841901010,2119,31.3,670068696,75834,16363220,67.0,665558958,11599426,1228819,61987054,713445624,350041385,57.0,23803,0,25.0,534986,17.0,9236402,13251,0,4910579,True,2019,March
You Need To Calm Down,You Need To Calm Down,Taylor Swift,USUG11901470,2113,31.3,935098853,63937,44356528,75.0,437794062,5982989,115567,38779190,255624404,281696624,159.0,70122,379,39.0,1053627,59.0,181933830,170370,"532,187",2751022,False,2019,June
Dancin In The C,Dancin In The Country,Tyler Hubbard,USUM72206481,2129,31.2,142607318,17721,11539344,67.0,13270587,89854,14841,2675513,40035442,0,28.0,301252,131,2.0,89250,26.0,50982434,6178,0,596894,False,2022,August
Starting Over,Starting Over,Chris Stapleton,USUM72013812,2134,31.2,320586187,52739,9354750,71.0,174357045,850627,20041,5682477,50043423,414350862,50.0,105621,86,12.0,99431,35.0,391540206,40645,0,1663359,False,2020,August
295,Moosetape,Sidhu Moose Wala,INU252102408,2130,31.2,267897492,21677,5861599,68.0,677472355,11160045,135126,7799090,98802368,628498,8.0,52,0,0.0,0,3.0,0,0,0,335298,False,2021,May
Gangsta s Paradise feat L V,And You Don t Stop A Celebration of 50 Years of Hip Hop,Coolio,USTB12300126,2128,31.2,1666699743,7,2021,13.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2023,August
Gulabi Sharara,Gulabi Sharara,Inder Arya,INS7A2500864,2122,31.2,17389541,1613,158758,53.0,219300210,1776778,70,2742,38956,0,0.0,23,0,0.0,0,0.0,0,0,0,0,False,2023,July
Otro Atardecer,Un Verano Sin Ti,Bad Bunny,QM6MZ2214891,2126,31.2,426439016,58352,12590067,71.0,187059915,1140762,63700,33219040,232987490,20261939,15.0,0,2,2.0,605,3.0,17983505,2209,0,961174,False,2022,May
lle de Sen,lle de Sen Single,Muti,TRCGH2300006,2132,31.2,49630584,7644,1077118,0.0,102074133,305216,38600,70954,6598274,304330982,3.0,1611,0,1.0,716,0.0,0,0,0,182499,False,2023,November
Soweto,Outlaw,Victony,QZAKB2164097,2123,31.2,133353888,40696,2870988,69.0,152140804,845642,727366,52119320,614798320,15477584,43.0,16437,17,7.0,285721,13.0,3943214,1143,"2,123,162",3191942,True,2022,May
Enjoy,Enjoy,Jux,ZA56E2303708,2127,31.2,7403756,2938,535879,19.0,13523535,99905,1397962,20258246,519353900,0,7.0,2810,0,1.0,9961,0.0,0,0,0,963170,False,2023,July
Poland,Poland Single,Lil Yachty,USUG12207318,2131,31.2,142817891,52177,9387393,58.0,9564773,374693,22311,9529259,134444259,0,30.0,155,1846,12.0,132440,3.0,2712267,5088,"18,200,046",194400,True,2022,October
BBY BOO,BBY BOO,iZaak,USWL12303270,2125,31.2,6172030,1159,1788765,0.0,107931540,709294,0,0,0,1207655028,1.0,11,167,0.0,0,0.0,282002,337,0,55459,True,2023,December
Brillarosa,Dolido Pero No Arrepentido EP,Fuerza Regida,QZ9QQ2400124,2120,31.2,69834726,3512,8863236,0.0,51351887,269848,0,392037,8104799,125921167,14.0,2,0,4.0,15528,17.0,6181348,1338,0,259092,False,2024,February
Bertaraf,Sir,Canbay Wolker,QZTPX2361588,2124,31.2,71190581,7887,3440542,70.0,127886162,447006,32200,607922,16097834,294412315,5.0,2245,0,2.0,15685,0.0,0,0,0,412007,False,2023,September
U My Everything feat Drake,In Sexyy We Trust,Sexyy Red,QZS7J2409861,2133,31.2,13671209,1332,35500278,71.0,3143016,58858,0,88700,400300,126237885,42.0,1687,0,4.0,329075,61.0,0,0,"236,169",130550,True,2024,May
Devil Eyes,Providence,Hippie Sabotage,US7SR1600006,2121,31.2,769295129,195653,20289921,71.0,706646464,7579662,1332046,279290956,-2147483648,9087,10.0,1035,0,8.0,40306,8.0,86076969,41269,0,8579839,False,2016,February
m y l i f e with 21 Savage Morray,The Off Season,J Cole,QMJMT2103634,2135,31.1,436133194,124236,21455262,68.0,78305305,910889,0,0,0,26806812,78.0,30793,14,7.0,38073,16.0,42756940,16650,0,1399160,True,2021,May
I m Yours,DDB Hitzone Best Of 2008,Jason Mraz,USEE10800667,2136,31.1,1878098512,241725,103480270,72.0,359866287,1614148,117533,21898820,175364993,1243907,230.0,1643,257,404.0,1238731,84.0,1463624043,938632,0,12571538,False,2008,January
Going Going Gone,Growin Up,Luke Combs,US6XF2100240,2139,31.1,192633758,25097,5307004,72.0,43607584,203727,33285,7739782,45564333,231390112,12.0,199434,199,1.0,71,8.0,130204437,8785,0,420418,False,2022,June
HISS,HISS,Megan Thee Stallion,USAT22400675,2141,31.1,80952546,6104,23088210,0.0,45378271,1259297,0,603800,3270700,617644065,26.0,3,43,10.0,447386,27.0,13712563,3568,0,136893,True,2024,January
Baarish Ki Jaaye,Baarish Ki Jaaye,B Praak,INUM72100017,2142,31.1,53064181,6163,1029980,53.0,700321521,7293139,874600,10595202,144528086,242150653,1.0,40,0,0.0,0,2.0,12638,0,0,216531,False,2021,March
Company,Company,Emiway Bantai,FR2X42304449,2144,31.1,39899018,2423,691567,49.0,279246643,4502050,562900,4399190,93470365,795121,0.0,25,0,0.0,0,4.0,0,0,0,71016,False,2023,January
get him back,GUTS,Olivia Rodrigo,USUG12305007,2140,31.1,287164579,1732,465956,0.0,0,0,0,0,0,0,15.0,160631,0,0.0,0,0.0,0,0,0,0,False,2023,September
LA PEOPLE,LA PEOPLE,Peso Pluma,QM7282306250,2143,31.1,261311116,21917,17543809,75.0,73174350,286276,1153,927518,10791305,37990067,4.0,20,0,2.0,4836584,5.0,6592452,5558,"3,505,647",220819,True,2023,June
BRAZILIAN DAN A P,BRAZILIAN DAN A P,6YNTHMANE,QM6N22383605,2137,31.1,185914923,28387,19122650,72.0,114153936,1500822,0,0,0,86472968,1.0,2,0,2.0,491228,5.0,313124,1606,0,1114212,True,2023,May
REACT,REACT,Switch Disco,GBARL2202525,2138,31.1,137897920,26625,54204917,69.0,61438933,366832,7625,1462045,33714095,149081593,73.0,122035,7,56.0,995516,23.0,23180,59,"2,184,490",1621052,False,2023,January
Ocean,OCEAN,KAROL G,USUM71904901,2149,31.0,312111545,30520,12759646,66.0,722096242,5368740,2197372,51993051,661920679,25343710,32.0,5415,392,28.0,148329,19.0,62924532,59516,0,1139084,False,2019,May
Wrecked,Wrecked,Imagine Dragons,USUM72110166,2153,31.0,309587427,57487,5571645,64.0,199356851,1545728,13246,4225615,34312597,318221542,38.0,114484,64,15.0,234536,31.0,99574335,12684,0,3334562,False,2021,July
Think U The Shit Fart,Think U The Shit Fart,Ice Spice,USUG12400704,2155,31.0,82013588,8321,17390936,0.0,35869265,594381,0,3783,40600,296107101,15.0,428,514,12.0,470265,21.0,3075586,5575,0,504447,True,2024,January
Brown Munde,Brown Munde,AP Dhillon,TCAFC2063050,2148,31.0,267617808,37741,5454166,64.0,756395439,7889556,222602,15409897,182472232,0,20.0,1757,0,1.0,1097,2.0,491910,1515,0,557124,False,2020,September
Kallo Feat Ajay Hooda Pooja Hooda,Kallo Feat Ajay Hooda Pooja Hooda,Komal Choudhary,INT502310027,2146,31.0,15483918,978,136801,0.0,159198721,831982,0,0,0,880969649,1.0,0,0,0.0,0,0.0,0,0,0,0,False,2023,October
pov,Positions,Ariana Grande,USUM72020441,2147,31.0,541397856,62958,23901981,66.0,195125143,1921318,1254926,161743407,1082235761,4630208,47.0,134263,328,7.0,163183,13.0,54217135,23039,0,1320353,False,2020,October
Dancing On My Own,Dancing On My Own,Calum Scott,UK6KW1500205,2154,31.0,1232373956,134807,70718949,74.0,823692209,4889435,97136,5421535,58183913,49841169,101.0,19205,0,41.0,312677,17.0,101328706,103883,"23,905,057",5361735,False,2016,March
Stay With Me,Full Circle The Live Anthology,Sam Smith,GBUM71308833,2152,31.0,2086460781,167759,96423336,77.0,212889507,1603354,83399,40678590,264665397,2879491,259.0,17500,1073,271.0,1178331,92.0,1143671622,717529,0,12655149,False,2011,November
Back Then Right Now,Back Then Right Now,Tyler Hubbard,USUG12307215,2150,31.0,26917389,3411,8706253,0.0,2749241,22965,18,287407,7726317,4054,17.0,145192,5,6.0,1598341,16.0,19464678,784,"355,745",229650,False,2023,September
Boucan feat Franglish,Boucan feat Franglish,KeBlack,FRPZ92414500,2145,31.0,21670034,1989,6717297,73.0,15271196,123620,0,0,0,0,20.0,2531,0,22.0,18067425,24.0,0,0,0,349565,True,2024,April
Fulanito,Fulanito,Becky G,USRC12100954,2151,31.0,254118106,38980,11054219,58.0,404064054,2732944,951433,333664664,-2147483648,74410741,70.0,21512,421,13.0,97011,20.0,13501079,3852,0,821982,False,2021,June
Only Love Can Hurt Like This feat Teddy Swims Remix,Only Love Can Hurt Like This feat Teddy Swims Single,Paloma Faith,GBARL2201949,2156,31.0,10296798,1307,1725637,58.0,11726419,125802,3027666,1139840747,-2147483648,0,5.0,0,0,3.0,62278,0.0,31492,62,0,63534,False,2022,September
Business feat Naza,Business feat Naza,DYSTINCT,NL2BN2300047,2160,30.9,74769930,34206,3353721,60.0,72559154,484307,50200,1761449,36415193,34331053,12.0,9500,0,5.0,72590,0.0,8090,0,0,1152489,False,2023,June
