Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Year,Month
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,USUM72401994,41,212.8,214237645,10871,202626837,92.0,11033725,251373,251200,71078500,443104700,148058631,247.0,3400,8,67.0,11523335,125.0,840442,2592,"1,369,981",285858,False,2024,May
Cupid Twin Ver FIFTY FIFTY Spe,Cupid Twin Ver FIFTY FIFTY Spe,sped up 8282,KRA252300672,42,211.2,170970614,27827,5784546,41.0,22280037,334523,14348249,948225544,-2147483648,0,2.0,672,0,4.0,35737,9.0,270610,3170,0,0,True,2023,April
I m Good Blue,I m Good Blue,David Guetta,UKWLG2200055,43,209.6,1658229422,262248,239957538,83.0,466080689,4324989,728093,54258768,1051836430,1425853925,285.0,935190,2487,207.0,6479623,168.0,139926990,31235,"8,007,236",10973120,True,2022,August
Daylight,Daylight,David Kushner,QZXDB2300005,44,207.0,1126820069,177800,85255689,82.0,274070101,3701289,2557115,285329503,-2147483648,1205538057,163.0,259255,96,77.0,3413707,80.0,28924685,14634,"9,505,098",8681350,False,2023,April
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,USJ5G2335007,45,206.2,997702304,105927,92834002,86.0,48093111,959175,3648759,857220853,-2147483648,298259422,91.0,36285,2676,63.0,10874749,110.0,6151267,9160,"7,980,051",2682219,False,2023,September
Please Please Please,Please Please Please,Sabrina Carpenter,USUM72404101,46,205.7,59314441,2572,183043096,83.0,22374807,1026097,0,188200,1200000,110446147,199.0,2359,2,73.0,13686074,98.0,360163,758,"9,883",47115,True,2024,June
Houdini,Houdini Single,Dua Lipa,GBAHT2301246,47,205.1,493627071,45300,87874006,80.0,150571504,1575378,93500,35970610,386610043,-2147483648,174.0,564640,405,146.0,28246184,127.0,25843941,3694,"1,991,527",2389957,False,2023,November
Danza Kuduro Cover,GEKIATU BEST AGE SONG CLUB SONG,MUSIC LAB JPN,TCJPA2415647,48,204.4,1655575417,9,85,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,May
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,GBUM72300969,49,203.6,304929492,43923,46133083,69.0,61986821,921044,13872768,390207653,-2147483648,19218089,78.0,92638,822,41.0,3467570,36.0,7444354,7188,0,2227494,True,2023,February
Despacito,Despacito Featuring Daddy Yankee,Luis Fonsi,USUM71607007,50,203.5,1747093405,178114,49464650,74.0,-2147483648,61799279,799338,78304409,1143297071,569548901,179.0,121234,116,145.0,1977014,118.0,266603596,2359900,0,19622551,False,2017,January
euphoria,euphoria,Kendrick Lamar,USUG12402839,51,202.1,168434320,17168,62516401,86.0,53604746,1846535,0,0,0,174375427,65.0,6408,77,20.0,428378,31.0,3156727,4843,"4,304,870",654482,True,2024,April
Panda Basi,Panda Basi EP,Mvua,GX3Q92333626,52,200.3,104271,249,8585,25.0,-2147483648,0,190,36666,393580,0,0.0,12,0,0.0,0,0.0,0,0,0,1881,False,2023,February
Calm Down with Selena Gomez,Calm Down with Selena Gomez,Rema,NGA3B2214021,53,198.0,1391688322,163876,130963116,77.0,902742581,8099187,599,48035,2857920,750030685,316.0,1107265,0,112.0,11937930,146.0,52073859,41487,"5,820,026",3521951,False,2022,August
Shape of You,Shape of You,Ed Sheeran,GBAHS1600463,54,195.1,-2147483648,316378,148037882,80.0,-2147483648,45770887,2270315,194420058,-2147483648,-2147483648,465.0,402829,282,512.0,2710931,115.0,733565655,651557,"78,149,375",1146246,False,2017,January
Mitu,Mitu Single,Maian,EEUM72300001,55,194.3,55346,42,16861,13.0,-2147483648,8162101,0,0,0,0,0.0,53,0,0.0,0,0.0,0,0,0,200,False,2023,January
Blinding Lights,Blinding Lights,The Weeknd,USUG11904206,56,194.0,-2147483648,590392,165544011,83.0,833807130,10093211,2882064,337322563,-2147483648,-2147483648,859.0,1695240,1116,564.0,11701129,184.0,489299762,319634,"28,659,471",28994660,False,2019,November
Creepin with The Weeknd 21 Savage,HEROES VILLAINS,Metro Boomin,USUG12208791,57,192.3,1337619917,228295,64806723,80.0,193982443,2023998,423714,148085419,1268862678,444033037,152.0,952186,34,58.0,2134791,66.0,77382416,28694,0,6205060,True,2022,December
Dona Felicidade,Dona Felicidade,Patati Patat,QZNJW2423715,58,190.0,0,2,41206,0.0,52480069,82092,0,0,0,0,0.0,0,0,1.0,1657,0.0,0,0,0,0,False,2024,June
Danza Kuduro Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,TCJPA2420090,59,190.0,1655575417,1,3,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,True,2024,April
Unholy feat Kim Petras,Unholy feat Kim Petras,Sam Smith,GBUM72205415,60,189.1,1556275789,210583,95974138,74.0,254051906,3364206,2379787,683088623,-2147483648,1524133775,203.0,718849,117,63.0,1616564,167.0,111398743,71335,"10,424,892",10192485,False,2022,September
Stereo Love Melodic,Stereo Love Deluxe feat Vika Jigulina,Edward Maya,ROCMA2413380,61,187.9,0,2,135,9.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,420235997,885123,0,0,False,2024,June
Very Cute Melody by Marimba Tone 39813,Very Cute Melody by Marimba Tone 39813,mitsu sound,RUA1H2406425,62,186.5,1384,2,801,0.0,222076,5430,5013500,605320683,-2147483648,0,0.0,0,0,0.0,0,0.0,0,0,0,0,False,2023,December
Supernova,Supernova,aespa,KRA302400090,63,186.1,69729033,2483,21046278,81.0,111310770,1724693,56600,61038623,393973528,32059104,40.0,709,13,7.0,544322,14.0,45515,100,"255,951",63283,False,2024,May
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,QM6MZ2214877,64,184.8,1811990630,173358,67603671,79.0,1516863120,8870768,4506600,549886060,-2147483648,934894575,124.0,77120,327,44.0,14871714,63.0,111324744,39123,0,3393920,True,2022,May
Back That Azz Up feat Lil Wayne Mannie Fresh,400 Degreez Deluxe Edition,JUVENILE,USCM52400059,65,181.4,199929812,4,98,0.0,0,0,0,0,0,0,1.0,0,0,0.0,0,0.0,390345308,399793,0,0,True,2024,March
Calm Down,Calm Down,Rema,NGA3B2214004,66,180.1,584427088,182994,19203258,68.0,1141904909,8766235,6129450,856216952,-2147483648,-2147483648,138.0,191634,759,53.0,3481756,45.0,98290873,46039,"14,668,216",22563407,False,2022,February
CARNIVAL,CARNIVAL,Unknown,QZ7XS2400012,67,179.6,466887055,53842,103935623,84.0,27688666,449112,0,0,0,33817299,42.0,53333,0,11.0,199915,29.0,1359484,11303,"11,703,609",1982000,True,2024,February
Kill Bill,SOS,SZA,USRC12204584,68,177.7,1873746537,190202,99546318,82.0,220538045,3153793,266430,152410048,1284413960,426461749,214.0,655242,5448,73.0,1304067,122.0,57350590,61270,"16,992,932",4873832,False,2022,December
What Was I Made For From The Motion Picture Barbie,What Was I Made For From The Motion Picture Barbie,Billie Eilish,USUM72307484,69,177.6,891720245,114560,97542546,82.0,144741616,2761964,1443103,498822693,-2147483648,1384310160,168.0,275119,68,108.0,10920686,111.0,39374594,19921,"5,418,596",4476509,False,2023,July
Babba,Black Book ID s Chapter 5 EP,Guy Mac,QZA742305720,70,176.2,46567,252,21930,6.0,2038459981,6076902,0,0,0,0,2.0,29,0,0.0,0,0.0,1456,0,0,903,False,2023,March
Heat Waves,Heat Waves,Glass Animals,GBUM72000433,71,175.0,-2147483648,486278,112416489,82.0,1272898075,14947520,1416295,513334446,-2147483648,-2147483648,459.0,1414326,1434,170.0,11862378,95.0,122247640,160431,0,17848778,False,2020,June
In the End,Papercuts,Linkin Park,USWB11201322,72,174.8,2045512421,97,488602,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,2.0,0,0,0,0,False,2024,April
Shakira Bzrp Music Sessions Vol 53,Shakira Bzrp Music Sessions Vol 53,Bizarrap,UYB282301031,73,174.3,946941510,100130,74836321,74.0,776436101,12951756,4210895,797017650,-2147483648,457987382,110.0,165670,180,106.0,4971379,92.0,48806666,10225,0,2237762,False,2023,January
The Way We Move Extended Mix,The Way We Move,PowerDress,UKACT2330463,74,173.6,7909,38,15023,4.0,1999374091,5708577,0,0,0,0,0.0,59,0,0.0,0,0.0,0,0,0,1412,False,2023,March
Old Town Road,Old Town Road,Lil Nas X,USSM11901941,75,170.3,1010494713,127393,18652312,67.0,-2147483648,41487213,5757883,187301054,1981431049,939714925,63.0,49780,2195,64.0,397418,100.0,181784010,2022074,"106,880,548",8856633,False,2019,March
un x100to,un x100to,Grupo Frontera,QM6N22311285,76,170.2,1008495696,99381,57394938,75.0,878892413,4425283,796603,127651887,1669065906,1522934425,101.0,73481,225,42.0,5734172,81.0,55857743,15528,0,2283747,False,2023,April
Laxed Sire,Laxed Siren Beat,Jawsh 685,NZAM02001128,77,168.9,0,10230,1142937,0.0,12489728,339414,42900000,919945708,-2147483648,0,0.0,0,0,0.0,0,0.0,5678792,0,0,0,False,2020,April
Sprinter,Sprinter Single,Dave,GBUM72305159,78,168.1,692512930,199828,55464762,78.0,219666692,2332307,731797,130560533,1254944697,918145630,155.0,42082,36,41.0,1790031,76.0,411656,3414,"12,405,917",3093667,True,2023,June
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,USUM72401988,79,167.8,169410711,11028,144854768,90.0,19402457,997411,284,0,0,260377114,185.0,1008,0,53.0,20737850,59.0,521322,698,"1,680,434",388625,False,2024,May
TQG,TQG,KAROL G,USUM72222541,80,167.8,1024381758,78554,69319589,78.0,1102289596,8953293,457111,15048444,248168852,1174053183,138.0,149584,38,84.0,8850320,131.0,68022934,16511,"164,895",3488226,True,2023,February
Perfect,Deluxe,Ed Sheeran,GBAHS1700024,81,167.5,-2147483648,280165,116921604,81.0,-2147483648,39632673,6642975,601244764,-2147483648,1708317539,208.0,263386,129,343.0,1242581,102.0,617483078,595052,0,0,False,2017,March
Pepas,Pepas,Farruko,USSD12100307,82,167.3,1500499584,359502,125112486,74.0,1431591689,11553088,2866181,290811371,-2147483648,782475986,258.0,240677,438,137.0,4015523,102.0,120046948,89582,"6,227",17210946,True,2021,June
Peekaboo,Glide Single,Dave Angel,GBLTF2300027,83,167.2,8082,63,32758,0.0,2055940513,4150967,0,0,0,0,1.0,13,0,0.0,0,0.0,0,0,0,442,False,2023,January
